name,nameWithOwner,url,stargazerCount,createdAt,pushedAt,primaryLanguage,pullRequestsMerged,releasesTotal,issuesTotal,issuesClosed
build-your-own-x,codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,471704,2018-05-09T12:03:18Z,2026-02-21T09:34:54Z,Markdown,155,0,887,653
awesome,sindresorhus/awesome,https://github.com/sindresorhus/awesome,442208,2014-07-11T13:42:37Z,2026-02-28T18:39:08Z,,694,0,365,349
freeCodeCamp,freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,437702,2014-12-24T17:49:19Z,2026-03-03T19:47:56Z,TypeScript,27736,0,21147,20965
public-apis,public-apis/public-apis,https://github.com/public-apis/public-apis,403411,2016-03-20T23:49:42Z,2026-02-19T15:14:35Z,Python,1872,0,835,832
free-programming-books,EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,383527,2013-10-11T06:50:37Z,2026-02-28T11:02:16Z,Python,7328,0,1262,1227
developer-roadmap,kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,350070,2017-03-15T13:45:52Z,2026-03-03T18:56:24Z,TypeScript,4065,1,3082,3052
coding-interview-university,jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,337544,2016-06-06T02:34:12Z,2025-08-28T14:42:47Z,,415,0,525,454
system-design-primer,donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,337172,2017-02-26T16:15:28Z,2025-11-03T12:06:22Z,Python,203,0,359,110
awesome-python,vinta/awesome-python,https://github.com/vinta/awesome-python,285381,2014-06-27T21:00:06Z,2026-03-02T05:14:01Z,Python,639,0,0,0
awesome-selfhosted,awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,276316,2015-06-01T02:33:17Z,2026-02-27T19:02:23Z,,2395,1,807,807
996.ICU,996icu/996.ICU,https://github.com/996icu/996.ICU,275614,2019-03-26T07:31:14Z,2025-08-22T06:01:29Z,,1072,0,0,0
project-based-learning,practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,259951,2017-04-12T05:07:46Z,2024-08-15T05:33:54Z,,182,0,227,82
openclaw,openclaw/openclaw,https://github.com/openclaw/openclaw,253677,2025-11-24T10:16:47Z,2026-03-03T19:54:21Z,TypeScript,2629,59,14536,9847
react,facebook/react,https://github.com/facebook/react,243518,2013-05-24T16:15:54Z,2026-03-03T18:44:50Z,JavaScript,12766,118,14383,13571
linux,torvalds/linux,https://github.com/torvalds/linux,220593,2011-09-04T22:48:12Z,2026-03-02T17:48:25Z,C,0,0,0,0
