language,count,percentage
Python,200,20.0
TypeScript,160,16.0
JavaScript,115,11.5
<unknown>,95,9.5
Go,77,7.7
Rust,54,5.4
Java,47,4.7
C++,46,4.6
C,25,2.5
Jupyter Notebook,23,2.3
Shell,21,2.1
HTML,18,1.7999999999999998
Ruby,12,1.2
C#,11,1.0999999999999999
Kotlin,10,1.0
CSS,8,0.8
Vue,7,0.7000000000000001
PHP,7,0.7000000000000001
Swift,7,0.7000000000000001
Dart,6,0.6
Markdown,5,0.5
MDX,5,0.5
Vim Script,4,0.4
Clojure,4,0.4
Dockerfile,3,0.3
Zig,3,0.3
Makefile,3,0.3
Scala,2,0.2
Assembly,2,0.2
Nunjucks,2,0.2
PowerShell,2,0.2
Lua,2,0.2
Haskell,2,0.2
Svelte,2,0.2
TeX,2,0.2
Batchfile,1,0.1
Blade,1,0.1
Roff,1,0.1
Julia,1,0.1
V,1,0.1
LLVM,1,0.1
Elixir,1,0.1
Objective-C,1,0.1
