name,nameWithOwner,url,primary_language,pull_requests_total,releases_total,issues_total,closed_issues_total,repo_age_days,days_since_last_update,closed_issues_ratio
build-your-own-x,codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,Markdown,155,0,888,653,2857,12,0.7353603603603603
awesome,sindresorhus/awesome,https://github.com/sindresorhus/awesome,,694,0,365,349,4254,0,0.9561643835616438
freeCodeCamp,freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,TypeScript,27769,0,21153,20977,4088,0,0.9916796671866874
public-apis,public-apis/public-apis,https://github.com/public-apis/public-apis,Python,1872,0,838,832,3636,13,0.9928400954653938
free-programming-books,EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,Python,7328,0,1263,1227,4528,5,0.9714964370546318
developer-roadmap,kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,TypeScript,4073,1,3085,3054,3276,0,0.9899513776337115
coding-interview-university,jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,,415,0,525,454,3559,188,0.8647619047619047
system-design-primer,donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,Python,203,0,360,110,3293,122,0.3055555555555556
awesome-python,vinta/awesome-python,https://github.com/vinta/awesome-python,Python,641,0,0,0,4268,0,
awesome-selfhosted,awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,,2395,1,807,807,3930,5,1.0
996.ICU,996icu/996.ICU,https://github.com/996icu/996.ICU,,1072,0,0,0,2536,195,
openclaw,openclaw/openclaw,https://github.com/openclaw/openclaw,TypeScript,2710,59,15232,9981,101,0,0.655265231092437
project-based-learning,practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,,182,0,227,82,3249,567,0.36123348017621143
react,facebook/react,https://github.com/facebook/react,JavaScript,12773,118,14384,13574,4667,0,0.9436874304783093
linux,torvalds/linux,https://github.com/torvalds/linux,C,0,0,0,0,5295,0,
Python,TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,Python,3046,0,1702,1540,3519,2,0.9048178613396005
vue,vuejs/vue,https://github.com/vuejs/vue,TypeScript,1136,249,10027,9668,4602,511,0.9641966689937169
the-book-of-secret-knowledge,trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,,122,0,0,0,2812,470,
computer-science,ossu/computer-science,https://github.com/ossu/computer-science,HTML,305,0,666,654,4323,1,0.9819819819819819
javascript-algorithms,trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,JavaScript,304,0,371,233,2903,15,0.628032345013477
tensorflow,tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,C++,42300,221,41195,40300,3771,0,0.978274062386212
ohmyzsh,ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,Shell,3515,0,5033,4890,6032,1,0.9715875223524737
You-Dont-Know-JS,getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,,370,0,949,949,4492,18,1.0
CS-Notes,CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,,374,0,578,449,2941,561,0.7768166089965398
vscode,microsoft/vscode,https://github.com/microsoft/vscode,TypeScript,43307,197,232072,218709,3835,0,0.9424187321176186
AutoGPT,Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,Python,3962,94,3738,3504,1085,0,0.9373996789727127
Python-100-Days,jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,Jupyter Notebook,13,0,711,188,2925,8,0.26441631504922647
n8n,n8n-io/n8n,https://github.com/n8n-io/n8n,TypeScript,14075,547,8212,7737,2448,0,0.9421578178275695
flutter,flutter/flutter,https://github.com/flutter/flutter,Dart,46916,7,112432,100264,4016,0,0.891774583748399
bootstrap,twbs/bootstrap,https://github.com/twbs/bootstrap,MDX,9113,94,22848,22453,5332,0,0.9827118347338936
gitignore,github/gitignore,https://github.com/github/gitignore,,1727,0,0,0,5595,20,
Microsoft-Activation-Scripts,massgravel/Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,Batchfile,5,29,908,906,2243,11,0.9977973568281938
awesome-go,avelino/awesome-go,https://github.com/avelino/awesome-go,Go,3605,0,727,713,4259,1,0.9807427785419532
ollama,ollama/ollama,https://github.com/ollama/ollama,Go,3069,189,9484,7499,982,0,0.7907001265288908
stable-diffusion-webui,AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,Python,1884,27,7885,5486,1290,3,0.6957514267596703
the-art-of-command-line,jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,,317,0,258,136,3941,617,0.5271317829457365
transformers,huggingface/transformers,https://github.com/huggingface/transformers,Python,18726,244,18662,17586,2683,0,0.9423427285392777
JavaGuide,Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,Java,1213,0,1131,1056,2859,1,0.9336870026525199
FreeDomain,DigitalPlatDev/FreeDomain,https://github.com/DigitalPlatDev/FreeDomain,HTML,1,0,0,0,644,2,
prompts.chat,f/prompts.chat,https://github.com/f/prompts.chat,HTML,200,0,131,128,1185,0,0.9770992366412213
yt-dlp,yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,Python,3229,131,11120,9302,1956,1,0.8365107913669064
javascript,airbnb/javascript,https://github.com/airbnb/javascript,JavaScript,813,0,1399,1299,4871,8,0.9285203716940672
langflow,langflow-ai/langflow,https://github.com/langflow-ai/langflow,Python,5776,283,3159,2818,1120,0,0.8920544476100032
HelloGitHub,521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,Python,17,63,2961,2681,3592,5,0.9054373522458629
youtube-dl,ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,Python,1646,341,26819,23190,5603,13,0.8646854841716693
next.js,vercel/next.js,https://github.com/vercel/next.js,JavaScript,26129,1000,24310,22258,3437,0,0.9155902920608803
tech-interview-handbook,yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,TypeScript,486,0,120,76,3530,38,0.6333333333333333
scrcpy,Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,C,123,50,5959,3285,3025,7,0.5512669911058903
fucking-algorithm,labuladong/fucking-algorithm,https://github.com/labuladong/fucking-algorithm,Markdown,244,0,962,962,2206,5,1.0
go,golang/go,https://github.com/golang/go,Go,1,0,70396,60957,4216,0,0.8659156770271038
