name_with_owner,stargazers,created_at,releases_count,n_classes,cbo_mean,dit_mean,lcom_mean,loc,comment_lines
00-Evan/shattered-pixel-dungeon,6010,2014-07-31T21:56:31Z,52,2763,6.27976836771625,2.8204849800941005,13.833514296055013,164472.0,
1024-lab/smart-admin,3694,2019-11-16T02:30:31Z,24,574,6.447735191637631,1.2282229965156795,3.7770034843205575,12888.0,
201206030/novel,5692,2019-11-11T01:13:52Z,12,202,4.415841584158416,1.0693069306930694,20.425742574257427,4560.0,
201206030/novel-plus,4535,2020-05-02T07:15:43Z,36,414,6.480676328502415,1.2077294685990339,46.15700483091788,15510.0,
2227324689/gpmall,5042,2019-07-18T14:09:22Z,0,424,5.009433962264151,1.3608490566037736,8.169811320754716,8865.0,
527515025/springBoot,6775,2016-11-07T02:13:31Z,0,264,5.143939393939394,1.1477272727272727,16.106060606060606,6408.0,
648540858/wvp-GB28181-pro,6775,2020-11-14T14:16:37Z,2,787,8.282083862770012,1.2846251588310038,33.30368487928844,49786.0,
981011512/--,4684,2020-06-18T22:47:21Z,0,5069,3.5478398106135334,2.8928782797395938,440.4263168277767,338075.0,
Activiti/Activiti,10525,2012-09-13T11:34:43Z,1000,3428,5.731330221703617,1.5787631271878646,89.46411901983664,157989.0,
Aefyr/SAI,3534,2018-12-14T19:22:27Z,45,391,6.427109974424552,1.5396419437340154,13.263427109974424,16401.0,
Alluxio/alluxio,7183,2012-12-21T17:43:46Z,61,4027,6.975167618574622,1.4817481996523467,30.658803079215296,252449.0,
Angel-ML/angel,6790,2017-04-25T05:57:43Z,20,1938,7.4757481940144475,1.738390092879257,63.43085655314758,207142.0,
AntennaPod/AntennaPod,7794,2012-07-31T10:25:08Z,65,858,7.588578088578089,1.4988344988344988,20.848484848484848,55119.0,
Anuken/Mindustry,27158,2017-04-30T01:24:29Z,183,2723,4.675358060962174,1.5655526992287918,31.946015424164525,175711.0,
ArthurHub/Android-Image-Cropper,6429,2015-01-15T10:49:37Z,32,40,7.725,1.375,70.375,4655.0,
AsamK/signal-cli,4418,2015-05-11T10:49:42Z,111,524,7.108778625954199,1.5419847328244274,62.971374045801525,29791.0,
Ashok-Varma/BottomNavigation,4355,2016-03-19T19:19:30Z,16,30,7.533333333333333,1.4333333333333333,69.26666666666667,2091.0,
AsyncHttpClient/async-http-client,6412,2011-03-07T13:41:46Z,12,593,6.080944350758854,1.494097807757167,49.49915682967959,33464.0,
Athou/commafeed,3498,2013-03-20T19:32:09Z,66,269,7.442379182156134,1.3680297397769516,5.962825278810409,9527.0,
Atmosphere/atmosphere,3751,2010-06-30T14:26:23Z,29,1750,5.494857142857143,1.2022857142857142,30.31942857142857,89895.0,
AutoMQ/automq,9668,2023-08-17T07:50:13Z,82,9321,7.179809033365519,1.3458856345885635,45.89475378178307,676390.0,
AxonFramework/AxonFramework,3572,2011-12-02T16:04:42Z,150,4522,6.174701459531181,1.2618310482087571,11.91486068111455,164549.0,
Baseflow/PhotoView,18848,2012-07-17T16:39:00Z,5,45,4.733333333333333,1.3555555555555556,24.6,1792.0,
Bearded-Hen/Android-Bootstrap,7251,2013-11-01T15:36:17Z,5,79,6.962025316455696,1.6708860759493671,31.39240506329114,10389.0,
Bigkoo/Android-PickerView,13468,2014-12-28T01:46:38Z,0,91,3.7252747252747254,1.1538461538461537,15.494505494505495,4421.0,
Blankj/AndroidUtilCode,33699,2016-07-30T18:18:32Z,117,670,4.155223880597015,1.364179104477612,144.95373134328358,39995.0,
Blankj/awesome-java-leetcode,8728,2017-04-17T15:51:41Z,0,72,1.6805555555555556,1.0,1.1666666666666667,1772.0,
BoCloud/folib,4098,2025-07-09T06:22:58Z,1,2637,6.82973075464543,1.3447098976109215,41.82176715965112,116725.0,
BoltsFramework/Bolts-Android,4016,2014-01-30T04:58:14Z,11,158,2.132911392405063,1.0822784810126582,19.0126582278481,5144.0,
ByteLegend/ByteLegend,3705,2021-02-01T10:11:30Z,0,295,6.979661016949152,1.0033898305084745,727.8440677966101,104032.0,
CaffeineMC/sodium,5537,2020-02-01T03:04:09Z,40,748,6.24331550802139,1.5147058823529411,17.196524064171122,30659.0,
CalebFenton/simplify,4638,2014-01-16T05:14:02Z,9,311,8.983922829581994,1.3729903536977492,20.742765273311896,21150.0,
CameraKit/blurkit-android,3763,2016-11-06T03:14:58Z,3,10,6.1,1.5,30.3,497.0,
CarGuo/GSYVideoPlayer,21426,2016-11-13T12:34:31Z,65,674,5.326409495548962,1.543026706231454,52.345697329376854,32667.0,
CellularPrivacy/Android-IMSI-Catcher-Detector,5236,2013-11-23T10:04:14Z,48,251,5.059760956175299,1.3306772908366533,4.964143426294821,12171.0,
CeuiLiSA/Pixiv-Shaft,6877,2019-04-01T09:59:09Z,127,1064,4.860902255639098,1.443609022556391,25.51597744360902,38041.0,
ChadCSong/ShineButton,4201,2016-07-05T06:32:26Z,2,24,4.833333333333333,1.625,23.625,988.0,
ChrisRM/material-theme-jetbrains,7763,2015-09-23T07:15:04Z,17,357,4.3277310924369745,2.2549019607843137,84.42296918767506,14517.0,
Clans/FloatingActionButton,5185,2015-03-21T12:36:16Z,14,47,4.638297872340425,1.3829787234042554,139.68085106382978,2805.0,
CodePhiliaX/Chat2DB,25390,2023-06-20T14:05:26Z,43,1045,6.114832535885167,1.262200956937799,16.489952153110046,35180.0,
CodingDocs/springboot-guide,5260,2018-11-28T01:05:07Z,0,139,4.093525179856115,1.1798561151079137,1.3525179856115108,1494.0,
Col-E/Recaf,7094,2017-07-27T06:01:10Z,170,1666,8.499399759903962,1.5906362545018007,27.2953181272509,79416.0,
Creators-of-Create/Create,4061,2019-07-18T08:27:10Z,5,2474,11.095392077607114,1.8063864187550525,29.471705739692805,148659.0,
DImuthuUpe/AndroidPdfViewer,8460,2016-06-02T20:21:21Z,0,57,4.859649122807017,1.2456140350877194,76.7719298245614,3325.0,
DTStack/chunjun,4104,2018-04-03T12:44:58Z,31,1938,7.171826625386997,1.5474716202270382,20.769349845201237,105614.0,
DataLinkDC/dinky,3718,2021-06-09T07:11:26Z,32,1368,6.9605263157894735,1.3245614035087718,24.422514619883042,60949.0,
DependencyTrack/dependency-track,3733,2013-07-16T19:16:43Z,76,729,8.979423868312757,1.522633744855967,112.66666666666667,61001.0,
DerekYRC/mini-spring,6354,2020-11-17T11:59:18Z,1,151,3.423841059602649,1.218543046357616,5.086092715231788,2509.0,
Devlight/InfiniteCycleViewPager,5703,2016-08-22T08:04:39Z,2,41,5.048780487804878,1.6341463414634145,102.53658536585365,3564.0,
Devlight/NavigationTabBar,4934,2016-03-29T08:59:27Z,13,58,4.017241379310345,1.3103448275862069,57.5,2538.0,
DiUS/java-faker,4918,2011-06-06T01:01:21Z,0,225,4.115555555555556,1.448888888888889,40.74666666666667,6710.0,
Dimezis/BlurView,3969,2016-04-21T16:00:07Z,32,30,5.9,1.5,7.0,939.0,
DingMouRen/LayoutManagerGroup,4986,2018-04-28T11:47:38Z,0,63,4.9523809523809526,1.5714285714285714,9.142857142857142,2285.0,
Docile-Alligator/Infinity-For-Reddit,5286,2018-07-26T15:02:51Z,197,1600,6.94625,1.560625,31.3475,96415.0,
Doikki/DKVideoPlayer,5309,2017-04-11T01:33:38Z,32,377,5.326259946949602,1.5915119363395225,46.753315649867375,18446.0,
DrKLO/Telegram,28890,2013-10-25T14:08:10Z,95,14405,7.249010760152725,1.6780978826796251,85.34376952447067,1793032.0,
DroidPluginTeam/DroidPlugin,6974,2015-08-27T11:14:57Z,2,786,3.301526717557252,4.388040712468193,3.699745547073791,22301.0,
DuGuQiuBai/Java,14224,2015-11-25T07:30:08Z,0,621,0.7648953301127214,1.173913043478261,1.0982286634460547,10966.0,
ElderDrivers/EdXposed,5661,2019-01-18T16:18:19Z,27,920,5.726086956521739,1.5641304347826086,191.0782608695652,71794.0,
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,23597,2012-11-24T00:14:41Z,0,91,2.901098901098901,1.0,0.23076923076923078,894.0,
Ereza/CustomActivityOnCrash,3761,2014-07-04T19:46:21Z,12,15,5.4,1.3333333333333333,32.333333333333336,893.0,
Evernote/android-job,5360,2015-08-20T19:36:54Z,31,189,6.994708994708994,1.7671957671957672,32.00529100529101,10693.0,
Exrick/xboot,3895,2018-04-23T14:44:18Z,6,349,7.415472779369628,1.2120343839541547,2.656160458452722,10265.0,
Exrick/xmall,7238,2017-07-28T01:49:49Z,0,316,4.310126582278481,1.1613924050632911,616.373417721519,45165.0,
Exrick/xpay,5180,2017-12-12T16:11:19Z,0,21,6.428571428571429,1.0,93.42857142857143,1449.0,
FCL-Team/FoldCraftLauncher,3802,2022-10-19T10:12:18Z,150,2007,5.690084703537618,1.7329347284504235,50.243148978574986,116299.0,
FasterXML/jackson-databind,3700,2011-12-23T07:17:41Z,0,6064,3.7735817941952505,1.7279023746701847,23.601418205804748,194264.0,
Flipboard/bottomsheet,4503,2015-04-23T17:37:32Z,10,68,4.897058823529412,1.3676470588235294,27.66176470588235,2578.0,
FongMi/TV,7711,2022-06-22T09:10:23Z,0,651,6.878648233486943,1.4208909370199694,107.15053763440861,30987.0,
Freelander/Android_Data,8918,2015-04-04T01:37:44Z,0,2,2.0,1.0,3.0,116.0,
Freeyourgadget/Gadgetbridge,4494,2015-01-05T23:19:03Z,0,4395,5.374288964732651,1.869169510807736,38.69419795221843,242946.0,
Fuzion24/JustTrustMe,5293,2014-07-24T23:45:05Z,1,27,2.5555555555555554,1.1851851851851851,2.7037037037037037,598.0,
GcsSloop/AndroidNote,9338,2016-01-04T23:51:36Z,0,8,4.875,1.375,8.125,402.0,
