nameWithOwner,name,url,stars,primary_language,mergedPRsCount,closedPRsCount,totalPRs
codecrafters-io/build-your-own-x,build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,499654,Markdown,155,188,343
sindresorhus/awesome,awesome,https://github.com/sindresorhus/awesome,463625,,696,1677,2373
freeCodeCamp/freeCodeCamp,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,444311,TypeScript,28270,16646,44916
public-apis/public-apis,public-apis,https://github.com/public-apis/public-apis,432973,Python,1897,1371,3268
EbookFoundation/free-programming-books,free-programming-books,https://github.com/EbookFoundation/free-programming-books,387872,Python,7364,4264,11628
openclaw/openclaw,openclaw,https://github.com/openclaw/openclaw,369343,TypeScript,7255,31486,38741
nilbuild/developer-roadmap,developer-roadmap,https://github.com/nilbuild/developer-roadmap,354367,TypeScript,4185,1814,5999
donnemartin/system-design-primer,system-design-primer,https://github.com/donnemartin/system-design-primer,347321,Python,210,162,372
jwasham/coding-interview-university,coding-interview-university,https://github.com/jwasham/coding-interview-university,346333,,415,598,1013
vinta/awesome-python,awesome-python,https://github.com/vinta/awesome-python,296364,Python,692,1710,2402
awesome-selfhosted/awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,290744,,2395,648,3043
996icu/996.ICU,996.ICU,https://github.com/996icu/996.ICU,276143,,1072,919,1991
practical-tutorials/project-based-learning,project-based-learning,https://github.com/practical-tutorials/project-based-learning,265060,,182,201,383
facebook/react,react,https://github.com/facebook/react,244863,JavaScript,12835,6176,19011
TheAlgorithms/Python,Python,https://github.com/TheAlgorithms/Python,220837,Python,3075,8326,11401
trimstray/the-book-of-secret-knowledge,the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,219109,,122,120,242
vuejs/vue,vue,https://github.com/vuejs/vue,209758,TypeScript,1136,1234,2370
ossu/computer-science,computer-science,https://github.com/ossu/computer-science,203619,HTML,313,200,513
trekhleb/javascript-algorithms,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,195937,JavaScript,303,271,574
tensorflow/tensorflow,tensorflow,https://github.com/tensorflow/tensorflow,195029,C++,44936,24084,69020
ultraworkers/claw-code,claw-code,https://github.com/ultraworkers/claw-code,190531,Rust,51,98,149
n8n-io/n8n,n8n,https://github.com/n8n-io/n8n,186972,TypeScript,15827,3973,19800
ohmyzsh/ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,186793,Shell,3565,4089,7654
microsoft/vscode,vscode,https://github.com/microsoft/vscode,184648,TypeScript,46783,8004,54787
getify/You-Dont-Know-JS,You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,184437,,370,527,897
CyC2018/CS-Notes,CS-Notes,https://github.com/CyC2018/CS-Notes,184317,,374,188,562
