owner,name,repo_full,url,stars,contributors,commits_5_anos,default_branch,faixa_stars,faixa_contributors,faixa_commits
public-apis,public-apis,public-apis/public-apis,https://github.com/public-apis/public-apis,436823,1441,1793,master,6. > 100k,5. > 1000,3. 1k–5k
EbookFoundation,free-programming-books,EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,388835,3495,3920,main,6. > 100k,5. > 1000,3. 1k–5k
vinta,awesome-python,vinta/awesome-python,https://github.com/vinta/awesome-python,299247,542,835,master,6. > 100k,4. 201–1000,2. 500–999
TheAlgorithms,Python,TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,221341,1330,1554,master,6. > 100k,5. > 1000,3. 1k–5k
Significant-Gravitas,AutoGPT,Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,184481,819,8606,master,6. > 100k,4. 201–1000,4. 5k–20k
yt-dlp,yt-dlp,yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,164947,1729,4878,master,6. > 100k,5. > 1000,3. 1k–5k
NousResearch,hermes-agent,NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,164441,1289,9291,main,6. > 100k,5. > 1000,4. 5k–20k
AUTOMATIC1111,stable-diffusion-webui,AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,163242,639,7689,master,6. > 100k,4. 201–1000,4. 5k–20k
huggingface,transformers,huggingface/transformers,https://github.com/huggingface/transformers,160907,3943,15682,main,6. > 100k,5. > 1000,4. 5k–20k
521xueweihan,HelloGitHub,521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,158282,11,117,master,6. > 100k,2. 11–50,1. 100–499
langflow-ai,langflow,langflow-ai/langflow,https://github.com/langflow-ai/langflow,148693,342,17702,main,6. > 100k,4. 201–1000,4. 5k–20k
ytdl-org,youtube-dl,ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,140357,1011,517,master,6. > 100k,5. > 1000,2. 500–999
open-webui,open-webui,open-webui/open-webui,https://github.com/open-webui/open-webui,138375,826,16562,main,6. > 100k,4. 201–1000,4. 5k–20k
langchain-ai,langchain,langchain-ai/langchain,https://github.com/langchain-ai/langchain,137486,3686,16045,master,6. > 100k,5. > 1000,4. 5k–20k
microsoft,markitdown,microsoft/markitdown,https://github.com/microsoft/markitdown,124839,80,308,main,6. > 100k,3. 51–200,1. 100–499
Comfy-Org,ComfyUI,Comfy-Org/ComfyUI,https://github.com/Comfy-Org/ComfyUI,114196,315,5293,master,6. > 100k,4. 201–1000,4. 5k–20k
Shubhamsaboo,awesome-llm-apps,Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,111581,82,1005,main,6. > 100k,3. 51–200,3. 1k–5k
github,spec-kit,github/spec-kit,https://github.com/github/spec-kit,105311,202,993,main,6. > 100k,4. 201–1000,2. 500–999
openai,whisper,openai/whisper,https://github.com/openai/whisper,100303,81,168,main,6. > 100k,3. 51–200,1. 100–499
pytorch,pytorch,pytorch/pytorch,https://github.com/pytorch/pytorch,100141,6571,67869,main,6. > 100k,5. > 1000,5. > 20k
fastapi,fastapi,fastapi/fastapi,https://github.com/fastapi/fastapi,98467,896,5610,master,5. 50k–100k,4. 201–1000,4. 5k–20k
browser-use,browser-use,browser-use/browser-use,https://github.com/browser-use/browser-use,95237,334,9281,main,5. 50k–100k,4. 201–1000,4. 5k–20k
hacksider,Deep-Live-Cam,hacksider/Deep-Live-Cam,https://github.com/hacksider/Deep-Live-Cam,93312,72,611,main,5. 50k–100k,3. 51–200,2. 500–999
django,django,django/django,https://github.com/django/django,87565,3442,5007,main,5. 50k–100k,5. > 1000,4. 5k–20k
home-assistant,core,home-assistant/core,https://github.com/home-assistant/core,87198,5447,73960,dev,5. 50k–100k,5. > 1000,5. > 20k
3b1b,manim,3b1b/manim,https://github.com/3b1b/manim,87081,198,2358,master,5. 50k–100k,3. 51–200,3. 1k–5k
sherlock-project,sherlock,sherlock-project/sherlock,https://github.com/sherlock-project/sherlock,83624,313,1407,master,5. 50k–100k,4. 201–1000,3. 1k–5k
bregman-arie,devops-exercises,bregman-arie/devops-exercises,https://github.com/bregman-arie/devops-exercises,82464,220,336,master,5. 50k–100k,4. 201–1000,1. 100–499
nextlevelbuilder,ui-ux-pro-max-skill,nextlevelbuilder/ui-ux-pro-max-skill,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill,81998,31,134,main,5. 50k–100k,2. 11–50,1. 100–499
infiniflow,ragflow,infiniflow/ragflow,https://github.com/infiniflow/ragflow,81097,604,6357,main,5. 50k–100k,4. 201–1000,4. 5k–20k
vllm-project,vllm,vllm-project/vllm,https://github.com/vllm-project/vllm,80816,2698,16915,main,5. 50k–100k,5. > 1000,4. 5k–20k
TauricResearch,TradingAgents,TauricResearch/TradingAgents,https://github.com/TauricResearch/TradingAgents,78918,20,190,main,5. 50k–100k,2. 11–50,1. 100–499
PaddlePaddle,PaddleOCR,PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,78421,293,4699,main,5. 50k–100k,4. 201–1000,3. 1k–5k
swisskyrepo,PayloadsAllTheThings,swisskyrepo/PayloadsAllTheThings,https://github.com/swisskyrepo/PayloadsAllTheThings,77896,321,1127,master,5. 50k–100k,4. 201–1000,3. 1k–5k
tensorflow,models,tensorflow/models,https://github.com/tensorflow/models,77663,957,2893,master,5. 50k–100k,4. 201–1000,3. 1k–5k
Z4nzu,hackingtool,Z4nzu/hackingtool,https://github.com/Z4nzu/hackingtool,76316,40,170,master,5. 50k–100k,2. 11–50,1. 100–499
OpenHands,OpenHands,OpenHands/OpenHands,https://github.com/OpenHands/OpenHands,74657,474,6784,main,5. 50k–100k,4. 201–1000,4. 5k–20k
python,cpython,python/cpython,https://github.com/python/cpython,72873,3833,21465,main,5. 50k–100k,5. > 1000,5. > 20k
josephmisiti,awesome-machine-learning,josephmisiti/awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning,72551,725,531,master,5. 50k–100k,4. 201–1000,2. 500–999
