repo_full,n_commits,n_bic,taxa_bic_pct,pct_pequeno,pct_medio,pct_grande
1Panel-dev/MaxKB,7358,52,0.71,61.35,27.53,11.12
2noise/ChatTTS,427,112,26.23,61.36,33.96,4.68
3b1b/manim,2634,143,5.43,69.32,25.51,5.16
521xueweihan/GitHub520,23554,19,0.08,47.28,52.71,0.01
666ghj/BettaFish,846,114,13.48,43.5,47.28,9.22
9001/copyparty,4376,109,2.49,59.32,36.72,3.95
AIDC-AI/Pixelle-Video,377,9,2.39,43.5,36.87,19.63
AUTOMATIC1111/stable-diffusion-webui,5801,329,5.67,74.87,23.1,2.03
ActivityWatch/activitywatch,437,7,1.6,80.32,18.76,0.92
Aider-AI/aider,12292,126,1.03,77.14,21.88,0.98
Alibaba-NLP/DeepResearch,243,8,3.29,75.72,17.7,6.58
Anionex/banana-slides,1222,63,5.16,43.29,46.15,10.56
ArchiveBox/ArchiveBox,3118,267,8.56,63.53,26.97,9.49
Asabeneh/30-Days-Of-Python,150,0,0.0,63.33,31.33,5.33
AstrBotDevs/AstrBot,5173,174,3.36,52.27,35.24,12.49
AsyncFuncAI/deepwiki-open,217,35,16.13,40.55,38.71,20.74
AtsushiSakai/PythonRobotics,688,16,2.33,77.62,14.97,7.41
Avaiga/taipy,6383,264,4.14,51.79,34.04,14.16
BerriAI/litellm,42782,281,0.66,46.88,42.58,10.54
BlinkDL/RWKV-LM,774,51,6.59,75.71,22.48,1.81
Canner/WrenAI,2935,79,2.69,44.8,34.31,20.89
Cinnamon/kotaemon,563,121,21.49,37.66,35.88,26.47
CloakHQ/CloakBrowser,191,45,23.56,29.32,50.26,20.42
Comfy-Org/ComfyUI,1693,164,9.69,65.62,29.65,4.73
D4Vinci/Scrapling,1242,99,7.97,61.92,34.3,3.78
Dao-AILab/flash-attention,1704,131,7.69,44.84,43.02,12.15
Delgan/loguru,484,45,9.3,71.49,24.38,4.13
DrewThomasson/ebook2audiobook,12754,126,0.99,80.59,18.36,1.04
EbookFoundation/free-programming-books,552,0,0.0,96.38,3.26,0.36
Evil0ctal/Douyin_TikTok_Download_API,1000,74,7.4,77.6,20.9,1.5
Fincept-Corporation/FinceptTerminal,804,35,4.35,30.47,37.56,31.97
Fosowl/agenticSeek,701,103,14.69,60.77,32.24,6.99
FoundationAgents/MetaGPT,5016,312,6.22,57.8,31.86,10.35
FoundationAgents/OpenManus,477,72,15.09,53.88,33.75,12.37
Free-TV/IPTV,1382,11,0.8,74.46,24.24,1.3
FujiwaraChoki/MoneyPrinterV2,120,15,12.5,67.5,21.67,10.83
FunAudioLLM/CosyVoice,436,109,25.0,59.4,31.19,9.4
GaiZhenbiao/ChuanhuChatGPT,1289,125,9.7,66.64,29.64,3.72
Genesis-Embodied-AI/genesis-world,1330,91,6.84,33.98,43.53,22.48
Guovin/iptv-api,2788,172,6.17,28.62,43.19,28.19
HKUDS/AI-Trader,332,26,7.83,34.94,34.64,30.42
HKUDS/CLI-Anything,554,53,9.57,33.39,39.53,27.08
HKUDS/DeepCode,226,73,32.3,33.63,42.04,24.34
HKUDS/DeepTutor,827,100,12.09,40.87,38.33,20.8
HKUDS/LightRAG,6016,183,3.04,52.93,41.81,5.27
HKUDS/RAG-Anything,311,99,31.83,46.62,46.3,7.07
HKUDS/nanobot,2404,170,7.07,40.81,51.46,7.74
Huanshere/VideoLingo,893,85,9.52,65.51,26.99,7.5
JaidedAI/EasyOCR,166,15,9.04,64.46,30.72,4.82
JoeanAmier/TikTokDownloader,1863,207,11.11,65.65,29.2,5.15
JuliusBrussee/caveman,149,8,5.37,33.56,53.02,13.42
Kanaries/pygwalker,816,86,10.54,57.35,31.74,10.91
KlingAIResearch/LivePortrait,124,11,8.87,74.19,17.74,8.06
Lightning-AI/pytorch-lightning,8928,238,2.67,48.58,38.62,12.8
ManimCommunity/manim,1876,106,5.65,49.15,38.75,12.1
MatrixTM/MHDDoS,457,105,22.98,79.87,19.91,0.22
MemPalace/mempalace,667,142,21.29,37.78,48.43,13.79
MustardChef/WSABuilds,1296,4,0.31,81.1,16.98,1.93
NVIDIA-NeMo/NeMo,31004,227,0.73,49.74,36.25,14.01
NVIDIA/Megatron-LM,8101,304,3.75,47.61,36.33,16.06
NanmiCoder/MediaCrawler,604,127,21.03,52.32,33.94,13.74
NousResearch/hermes-agent,6857,2498,36.43,31.76,55.69,12.54
OpenBB-finance/OpenBB,132,23,17.42,21.97,51.52,26.52
OpenBMB/ChatDev,469,22,4.69,54.16,29.21,16.63
