repositorio,api,repeticao,tempo_ms,tamanho_bytes
codecrafters-io/build-your-own-x,REST,1,316.006,7125
codecrafters-io/build-your-own-x,GraphQL,1,397.344,763
codecrafters-io/build-your-own-x,GraphQL,2,456.865,763
codecrafters-io/build-your-own-x,REST,2,362.619,7125
codecrafters-io/build-your-own-x,REST,3,357.193,7125
codecrafters-io/build-your-own-x,GraphQL,3,371.357,763
codecrafters-io/build-your-own-x,GraphQL,4,434.585,763
codecrafters-io/build-your-own-x,REST,4,358.891,7125
codecrafters-io/build-your-own-x,REST,5,626.373,7125
codecrafters-io/build-your-own-x,GraphQL,5,395.733,763
sindresorhus/awesome,REST,1,284.656,5539
sindresorhus/awesome,GraphQL,1,480.862,661
sindresorhus/awesome,GraphQL,2,345.544,661
sindresorhus/awesome,REST,2,370.655,5539
sindresorhus/awesome,REST,3,356.929,5539
sindresorhus/awesome,GraphQL,3,460.305,661
sindresorhus/awesome,GraphQL,4,460.401,661
sindresorhus/awesome,REST,4,298.066,5539
sindresorhus/awesome,REST,5,288.105,5539
sindresorhus/awesome,GraphQL,5,365.96,661
freeCodeCamp/freeCodeCamp,REST,1,452.401,7060
freeCodeCamp/freeCodeCamp,GraphQL,1,575.703,1089
freeCodeCamp/freeCodeCamp,GraphQL,2,493.663,1089
freeCodeCamp/freeCodeCamp,REST,2,419.815,7060
freeCodeCamp/freeCodeCamp,REST,3,458.026,7060
freeCodeCamp/freeCodeCamp,GraphQL,3,567.463,1089
freeCodeCamp/freeCodeCamp,GraphQL,4,453.069,1089
freeCodeCamp/freeCodeCamp,REST,4,350.712,7060
freeCodeCamp/freeCodeCamp,REST,5,371.085,7060
freeCodeCamp/freeCodeCamp,GraphQL,5,463.594,1089
public-apis/public-apis,REST,1,314.54,6825
public-apis/public-apis,GraphQL,1,455.836,965
public-apis/public-apis,GraphQL,2,568.245,965
public-apis/public-apis,REST,2,355.733,6825
public-apis/public-apis,REST,3,360.063,6825
public-apis/public-apis,GraphQL,3,566.875,965
public-apis/public-apis,GraphQL,4,439.217,965
public-apis/public-apis,REST,4,346.565,6825
public-apis/public-apis,REST,5,591.551,6825
public-apis/public-apis,GraphQL,5,460.34,965
EbookFoundation/free-programming-books,REST,1,427.348,7526
EbookFoundation/free-programming-books,GraphQL,1,465.848,736
EbookFoundation/free-programming-books,GraphQL,2,569.253,736
EbookFoundation/free-programming-books,REST,2,484.167,7526
EbookFoundation/free-programming-books,REST,3,368.016,7526
EbookFoundation/free-programming-books,GraphQL,3,425.785,736
EbookFoundation/free-programming-books,GraphQL,4,424.713,736
EbookFoundation/free-programming-books,REST,4,383.166,7526
EbookFoundation/free-programming-books,REST,5,733.11,7526
EbookFoundation/free-programming-books,GraphQL,5,462.49,736
openclaw/openclaw,REST,1,334.38,6334
openclaw/openclaw,GraphQL,1,485.569,781
openclaw/openclaw,GraphQL,2,462.279,781
openclaw/openclaw,REST,2,438.122,6334
openclaw/openclaw,REST,3,381.903,6334
openclaw/openclaw,GraphQL,3,506.467,781
