repositorio,api,tempo_ms,tamanho_bytes
2dust/v2rayN,GraphQL,497.735,866.0
2dust/v2rayN,REST,317.805,5199.0
521xueweihan/HelloGitHub,GraphQL,435.326,724.0
521xueweihan/HelloGitHub,REST,364.781,5646.0
996icu/996.ICU,GraphQL,359.304,559.0
996icu/996.ICU,REST,287.001,5152.0
AUTOMATIC1111/stable-diffusion-webui,GraphQL,510.3,999.0
AUTOMATIC1111/stable-diffusion-webui,REST,317.899,6347.0
Chalarangelo/30-seconds-of-code,GraphQL,559.141,968.0
Chalarangelo/30-seconds-of-code,REST,342.014,6174.0
Comfy-Org/ComfyUI,GraphQL,437.015,761.0
Comfy-Org/ComfyUI,REST,428.473,6417.0
CyC2018/CS-Notes,GraphQL,462.087,807.0
CyC2018/CS-Notes,REST,299.172,5265.0
DigitalPlatDev/FreeDomain,GraphQL,465.762,762.0
DigitalPlatDev/FreeDomain,REST,345.078,6866.0
EbookFoundation/free-programming-books,GraphQL,462.49,736.0
EbookFoundation/free-programming-books,REST,427.348,7526.0
Genymobile/scrcpy,GraphQL,461.903,728.0
Genymobile/scrcpy,REST,385.784,6416.0
GrowingGit/GitHub-Chinese-Top-Charts,GraphQL,389.852,625.0
GrowingGit/GitHub-Chinese-Top-Charts,REST,282.28,6190.0
Hack-with-Github/Awesome-Hacking,GraphQL,457.66,855.0
Hack-with-Github/Awesome-Hacking,REST,387.571,7332.0
NousResearch/hermes-agent,GraphQL,491.435,1009.0
NousResearch/hermes-agent,REST,374.357,6863.0
Shubhamsaboo/awesome-llm-apps,GraphQL,425.534,687.0
Shubhamsaboo/awesome-llm-apps,REST,373.02,5935.0
Significant-Gravitas/AutoGPT,GraphQL,506.034,984.0
Significant-Gravitas/AutoGPT,REST,459.561,7206.0
Snailclimb/JavaGuide,GraphQL,538.175,1009.0
Snailclimb/JavaGuide,REST,284.991,5695.0
TheAlgorithms/Python,GraphQL,499.884,1005.0
TheAlgorithms/Python,REST,357.715,6755.0
affaan-m/ECC,GraphQL,455.267,892.0
affaan-m/ECC,REST,323.93399999999997,5261.0
airbnb/javascript,GraphQL,513.742,919.0
airbnb/javascript,REST,439.922,6368.0
anomalyco/opencode,GraphQL,358.025,516.0
anomalyco/opencode,REST,358.254,6339.0
anthropics/claude-code,GraphQL,455.663,736.0
anthropics/claude-code,REST,449.971,6863.0
anthropics/skills,GraphQL,461.657,517.0
anthropics/skills,REST,403.04,6408.0
avelino/awesome-go,GraphQL,412.45,729.0
avelino/awesome-go,REST,288.611,5400.0
awesome-selfhosted/awesome-selfhosted,GraphQL,460.598,857.0
awesome-selfhosted/awesome-selfhosted,REST,360.286,7558.0
axios/axios,GraphQL,458.696,691.0
axios/axios,REST,361.629,6045.0
